id,Entity,Type,rdfs:label,has_alternative_id,has_broad_synonym,Superclass,Superclass,Superclass,adjacent_to,derives_from,guided_by,has_origin,has_part,has_part,has_part,has_part,has_part,member_of,non_functional_homolog_of,part_of,part_of,variant_of
186,LTR_retrotransposon,Class,LTR_retrotransposon,,,retrotransposon,,,,,,,,,,,,,,,,
188,intron,Class,intron,,,primary_transcript_region,,,,,,,,,,,,,,,,
189,non_LTR_retrotransposon,Class,non_LTR_retrotransposon,,,retrotransposon,,,,,,,,,,,,,,,,
190,five_prime_intron,Class,five_prime_intron,,,intron,,,,,,,,,,,,,,,,
191,interior_intron,Class,interior_intron,,,intron,,,,,,,,,,,,,,,,
192,three_prime_intron,Class,three_prime_intron,,,intron,,,,,,,,,,,,,,,,
193,RFLP_fragment,Class,RFLP_fragment,,,restriction_fragment,,,,,,,,,,,,,,,,
194,LINE_element,Class,LINE_element,,,non_LTR_retrotransposon,,,,,,,,,,,,,,,,
195,coding_exon,Class,coding_exon,,,exon,,,,,,,,,,,,,,,,
196,five_prime_coding_exon_coding_region,Class,five_prime_coding_exon_coding_region,,,coding_region_of_exon,,,,,,,,,,,,,,five_prime_coding_exon,,
197,three_prime_coding_exon_coding_region,Class,three_prime_coding_exon_coding_region,,,coding_region_of_exon,,,,,,,,,,,,,,three_prime_coding_exon,,
198,noncoding_exon,Class,noncoding_exon,,,exon,,,,,,,,,,,,,,,,
199,translocation,Class,translocation,,,sequence_alteration,,,,,,,,,,,,,,,,
200,five_prime_coding_exon,Class,five_prime_coding_exon,,,coding_exon,,,,,,,,,,,,,,,,
201,interior_exon,Class,interior_exon,,,exon,,,,,,,,,,,,,,,,
202,three_prime_coding_exon,Class,three_prime_coding_exon,,,coding_exon,,,,,,,,,,,,,,,,
203,UTR,Class,UTR,,,mRNA_region,,,,,,,,,,,,,,,,
204,five_prime_UTR,Class,five_prime_UTR,,,UTR,,,,,,,,,,,,,,,,
205,three_prime_UTR,Class,three_prime_UTR,,,UTR,,,,,,,,,,,,,,,,
206,SINE_element,Class,SINE_element,,,non_LTR_retrotransposon,,,,,,,,,,,,,,,,
207,simple_sequence_length_variation,Class,simple_sequence_length_variation,,,sequence_length_variation,,,,,,,,,,,,,,,,
208,terminal_inverted_repeat_element,Class,terminal_inverted_repeat_element,,,DNA_transposon,,,,,,,,,,,,,,,,
209,rRNA_primary_transcript,Class,rRNA_primary_transcript,,,nc_primary_transcript,,,,,,,,,,,,,,,,
210,tRNA_primary_transcript,Class,tRNA_primary_transcript,,,nc_primary_transcript,,,,,,,,,,,,,,,,
211,alanine_tRNA_primary_transcript,Class,alanine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
212,arginine_tRNA_primary_transcript,Class,arginine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
213,asparagine_tRNA_primary_transcript,Class,asparagine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
214,aspartic_acid_tRNA_primary_transcript,Class,aspartic_acid_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
215,cysteine_tRNA_primary_transcript,Class,cysteine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
216,glutamic_acid_tRNA_primary_transcript,Class,glutamic_acid_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
217,glutamine_tRNA_primary_transcript,Class,glutamine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
218,glycine_tRNA_primary_transcript,Class,glycine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
219,histidine_tRNA_primary_transcript,Class,histidine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
220,isoleucine_tRNA_primary_transcript,Class,isoleucine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
221,leucine_tRNA_primary_transcript,Class,leucine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
222,lysine_tRNA_primary_transcript,Class,lysine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
223,methionine_tRNA_primary_transcript,Class,methionine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
224,phenylalanine_tRNA_primary_transcript,Class,phenylalanine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
225,proline_tRNA_primary_transcript,Class,proline_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
226,serine_tRNA_primary_transcript,Class,serine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
227,threonine_tRNA_primary_transcript,Class,threonine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
228,tryptophan_tRNA_primary_transcript,Class,tryptophan_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
229,tyrosine_tRNA_primary_transcript,Class,tyrosine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
230,valine_tRNA_primary_transcript,Class,valine_tRNA_primary_transcript,,,tRNA_primary_transcript,,,,,,,,,,,,,,,,
231,snRNA_primary_transcript,Class,snRNA_primary_transcript,,,nc_primary_transcript,,,,,,,,,,,,,,,,
232,snoRNA_primary_transcript,Class,snoRNA_primary_transcript,,,nc_primary_transcript,,,,,,,,,,,,,,,,
233,mature_transcript,Class,mature_transcript,,,transcript,,,,primary_transcript,,,,,,,,,,,,
234,mRNA,Class,mRNA,,,mature_transcript,,,,,,,,,,,,,,,,
235,TF_binding_site,Class,TF_binding_site,,,protein_binding_site,SO_0005836,,,,,,,,,,,,,,,
236,ORF,Class,ORF,,,reading_frame,,,,,,,,,,,,,,,,
237,transcript_attribute,Class,transcript_attribute,,,feature_attribute,,,,,,,,,,,,,,,,
238,foldback_element,Class,foldback_element,,,DNA_transposon,,,,,,,,,,,,,,,,
239,flanking_region,Class,flanking_region,,,SO_0001412,,,,,,,,,,,,,,,,
240,chromosome_variation,Class,chromosome_variation,,,,,,,,,,,,,,,,,,,
241,internal_UTR,Class,internal_UTR,,,UTR,,,,,,,,,,,,,,,,
242,untranslated_region_polycistronic_mRNA,Class,untranslated_region_polycistronic_mRNA,,,UTR,,,,,,,,,,,,,,,,
243,internal_ribosome_entry_site,Class,internal_ribosome_entry_site,,,ribosome_entry_site,,,,,,,,,,,,,,,,
246,polyadenylated,Class,polyadenylated,,,mRNA_attribute,,,,,,,,,,,,,,,,
248,sequence_length_variation,Class,sequence_length_variation,,,SO_1000002,,,,,,,,,,,,,,,,
250,modified_RNA_base_feature,Class,modified_RNA_base_feature,,,base,,,,,,,,,,,,,,,,
252,rRNA,Class,rRNA,,,ncRNA,,,,rRNA_primary_transcript,,,,,,,,,,,,
253,tRNA,Class,tRNA,,,ncRNA,,,,tRNA_primary_transcript,,,,,,,,,,,,
254,alanyl_tRNA,Class,alanyl_tRNA,,,tRNA,,,,alanine_tRNA_primary_transcript,,,,,,,,,,,,
255,rRNA_small_subunit_primary_transcript,Class,rRNA_small_subunit_primary_transcript,,,rRNA_primary_transcript,,,,,,,,,,,,,,,,
256,asparaginyl_tRNA,Class,asparaginyl_tRNA,,,tRNA,,,,asparagine_tRNA_primary_transcript,,,,,,,,,,,,
257,aspartyl_tRNA,Class,aspartyl_tRNA,,,tRNA,,,,aspartic_acid_tRNA_primary_transcript,,,,,,,,,,,,
258,cysteinyl_tRNA,Class,cysteinyl_tRNA,,,tRNA,,,,cysteine_tRNA_primary_transcript,,,,,,,,,,,,
259,glutaminyl_tRNA,Class,glutaminyl_tRNA,,,tRNA,,,,glutamic_acid_tRNA_primary_transcript,,,,,,,,,,,,
260,glutamyl_tRNA,Class,glutamyl_tRNA,,,tRNA,,,,glutamine_tRNA_primary_transcript,,,,,,,,,,,,
261,glycyl_tRNA,Class,glycyl_tRNA,,,tRNA,,,,glycine_tRNA_primary_transcript,,,,,,,,,,,,
262,histidyl_tRNA,Class,histidyl_tRNA,,,tRNA,,,,histidine_tRNA_primary_transcript,,,,,,,,,,,,
263,isoleucyl_tRNA,Class,isoleucyl_tRNA,,,tRNA,,,,isoleucine_tRNA_primary_transcript,,,,,,,,,,,,
264,leucyl_tRNA,Class,leucyl_tRNA,,,tRNA,,,,leucine_tRNA_primary_transcript,,,,,,,,,,,,
265,lysyl_tRNA,Class,lysyl_tRNA,,,tRNA,,,,lysine_tRNA_primary_transcript,,,,,,,,,,,,
266,methionyl_tRNA,Class,methionyl_tRNA,,,tRNA,,,,methionine_tRNA_primary_transcript,,,,,,,,,,,,
267,phenylalanyl_tRNA,Class,phenylalanyl_tRNA,,,tRNA,,,,phenylalanine_tRNA_primary_transcript,,,,,,,,,,,,
268,prolyl_tRNA,Class,prolyl_tRNA,,,tRNA,,,,proline_tRNA_primary_transcript,,,,,,,,,,,,
269,seryl_tRNA,Class,seryl_tRNA,,,tRNA,,,,serine_tRNA_primary_transcript,,,,,,,,,,,,
270,threonyl_tRNA,Class,threonyl_tRNA,,,tRNA,,,,threonine_tRNA_primary_transcript,,,,,,,,,,,,
271,tryptophanyl_tRNA,Class,tryptophanyl_tRNA,,,tRNA,,,,tryptophan_tRNA_primary_transcript,,,,,,,,,,,,
272,tyrosyl_tRNA,Class,tyrosyl_tRNA,,,tRNA,,,,tyrosine_tRNA_primary_transcript,,,,,,,,,,,,
273,valyl_tRNA,Class,valyl_tRNA,,,tRNA,,,,valine_tRNA_primary_transcript,,,,,,,,,,,,
274,snRNA,Class,snRNA,,,ncRNA,,,,snRNA_primary_transcript,,,,,,,,,,,,
275,snoRNA,Class,snoRNA,,,ncRNA,,,,snoRNA_primary_transcript,,,,,,,,,,,,
276,miRNA,Class,miRNA,,,small_regulatory_ncRNA,,,,miRNA_primary_transcript,,,,,,,,,,,,
277,bound_by_factor,Class,bound_by_factor,,,feature_attribute,,,,,,,,,,,,,,,,
278,transcript_bound_by_nucleic_acid,Class,transcript_bound_by_nucleic_acid,,,transcript,,,,,,,,,,,,,,,,
279,transcript_bound_by_protein,Class,transcript_bound_by_protein,,,transcript,,,,,,,,,,,,,,,,
280,engineered_gene,Class,engineered_gene,,,gene,engineered_region,,,,,,,,,,,,,,,
281,engineered_foreign_gene,Class,engineered_foreign_gene,,,engineered_gene,engineered_foreign_region,foreign_gene,,,,,,,,,,,,,,
282,mRNA_with_minus_1_frameshift,Class,mRNA_with_minus_1_frameshift,,,mRNA_with_frameshift,,,,,,,,,,,,,,,,
283,engineered_foreign_transposable_element_gene,Class,engineered_foreign_transposable_element_gene,,,engineered_foreign_gene,transposable_element_gene,,,,,,,,,,,,,,,
285,foreign_gene,Class,foreign_gene,,,gene,,,,,,,,,,,,,,,,
286,long_terminal_repeat,Class,long_terminal_repeat,,,repeat_region,,,,,,,,,,,,,,LTR_retrotransposon,,
287,fusion_gene,Class,fusion_gene,,,gene,,,,,,,,,,,,,,,,
288,engineered_fusion_gene,Class,engineered_fusion_gene,,,engineered_gene,fusion_gene,,,,,,,,,,,,,,,
289,microsatellite,Class,microsatellite,,,satellite_DNA,,,,,,,,,,,,,,,,
290,dinucleotide_repeat_microsatellite_feature,Class,dinucleotide_repeat_microsatellite_feature,,,microsatellite,,,,,,,,,,,,,,,,
291,trinucleotide_repeat_microsatellite_feature,Class,trinucleotide_repeat_microsatellite_feature,,,microsatellite,,,,,,,,,,,,,,,,
293,engineered_foreign_repetitive_element,Class,engineered_foreign_repetitive_element,,,repeat_region,engineered_foreign_region,,,,,,,,,,,,,,,
294,inverted_repeat,Class,inverted_repeat,,,repeat_region,,,,,,,,,,,,,,,,
295,U12_intron,Class,U12_intron,,,spliceosomal_intron,,,,,,,,,,,,,,,,
296,origin_of_replication,Class,origin_of_replication,,,SO_0001411,,,,,,,,,,,,,,replicon,,
297,D_loop,Class,D_loop,,,origin_of_replication,,,,,,,,,,,,,,,,
298,recombination_feature,Class,recombination_feature,,,SO_0001411,,,,,,,,,,,,,,,,
299,specific_recombination_site,Class,specific_recombination_site,,,sequence_rearrangement_feature,,,,,,,,,,,,,,,,
300,recombination_feature_of_rearranged_gene,Class,recombination_feature_of_rearranged_gene,,,specific_recombination_site,,,,,,,,,,,,,,,,
